,icont,frequency,vc,vb,mode,corner,temperature,bias_current
810,0.0002,5e-07,1.5081,0.319935,full-RC,ss,-25.0,0.0002
811,7.5e-05,2752640.0,1.09308,0.518222,full-RC,ff,-25.0,7.5e-05
812,0.0002,3518770.0,1.66808,0.514256,C-decoupled,ff,100.0,0.0002
813,7.5e-05,2612960.0,1.10711,0.551538,C-coupled,ff,0.0,7.5e-05
814,2.5e-05,513898.0,0.883853,0.790766,schematic,tt,75.0,2.5e-05
815,0.0002,3704580.0,1.57298,0.38393,C-coupled,sf,50.0,0.0002
816,5e-05,1649370.0,1.07214,0.716065,C-decoupled,fs,50.0,5e-05
817,7.5e-05,2293490.0,1.22388,0.618065,C-coupled,ss,100.0,7.5e-05
818,0.000175,3561970.0,1.49642,0.399183,full-RC,sf,50.0,0.000175
819,0.00025,4042810.0,1.79617,0.379401,C-decoupled,ss,50.0,0.00025
820,0.000125,3279010.0,1.33152,0.524651,C-decoupled,ff,50.0,0.000125
821,7.5e-05,2554400.0,1.19073,0.550398,C-decoupled,ss,50.0,7.5e-05
822,7.5e-05,2698600.0,1.1011,0.45639,full-RC,sf,0.0,7.5e-05
823,0.00015,4107400.0,1.31832,0.403911,C-decoupled,ff,-25.0,0.00015
824,2.5e-05,5e-07,0.915048,0.852316,C-decoupled,fs,75.0,2.5e-05
825,0.000175,3900890.0,1.41747,0.341139,full-RC,sf,0.0,0.000175
826,5e-05,1897800.0,1.00354,0.616363,schematic,ff,0.0,5e-05
827,0.000225,4370820.0,1.58214,0.357411,C-decoupled,tt,0.0,0.000225
828,2.5e-05,587409.0,0.852795,0.728341,full-RC,sf,75.0,2.5e-05
829,0.000175,4537600.0,1.38298,0.383129,schematic,ff,-25.0,0.000175
830,0.00015,3837370.0,1.41629,0.455152,full-RC,fs,0.0,0.00015
831,7.5e-05,2686120.0,1.13317,0.51736,C-coupled,tt,0.0,7.5e-05
832,0.000125,3042850.0,1.42389,0.556617,C-decoupled,tt,100.0,0.000125
833,2.5e-05,702366.0,0.857243,0.651357,C-coupled,sf,27.0,2.5e-05
834,0.00015,4127510.0,1.41412,0.455109,schematic,fs,0.0,0.00015
835,0.0002,3447640.0,1.70844,0.487054,C-coupled,tt,100.0,0.0002
836,0.000225,3667180.0,1.7785,0.418773,full-RC,ss,75.0,0.000225
837,0.000175,3252370.0,1.65807,0.478355,full-RC,ss,100.0,0.000175
838,5e-05,1965340.0,1.06465,0.62143,schematic,ss,50.0,5e-05
839,0.000125,3721310.0,1.25028,0.431205,C-coupled,ff,-25.0,0.000125
840,5e-05,1831950.0,1.0085,0.592608,full-RC,sf,50.0,5e-05
841,5e-05,1812860.0,1.05115,0.609812,full-RC,fs,-25.0,5e-05
842,0.0001,2957490.0,1.2985,0.499461,C-decoupled,ss,50.0,0.0001
843,2.5e-05,378894.0,0.861262,0.823483,C-decoupled,ff,75.0,2.5e-05
844,0.0002,3892790.0,1.57223,0.454434,C-decoupled,ff,50.0,0.0002
845,0.00025,5e-07,1.64308,0.346351,schematic,tt,0.0,0.00025
846,5e-05,1664670.0,1.02295,0.66626,C-coupled,sf,100.0,5e-05
847,2.5e-05,526976.0,0.872141,0.663799,C-decoupled,ff,-25.0,2.5e-05
848,0.0002,3566000.0,1.62035,0.412911,full-RC,sf,75.0,0.0002
849,0.00025,3871120.0,1.85221,0.473483,full-RC,fs,75.0,0.00025
850,7.5e-05,2519100.0,1.13024,0.52383,C-coupled,sf,50.0,7.5e-05
851,0.00015,3423100.0,1.41687,0.495221,C-coupled,ff,50.0,0.00015
852,0.000125,3806220.0,1.25028,0.431205,C-decoupled,ff,-25.0,0.000125
853,0.00015,3153790.0,1.56142,0.49946,C-decoupled,ss,100.0,0.00015
854,5e-05,1797270.0,1.04734,0.69124,schematic,tt,75.0,5e-05
855,7.5e-05,2832160.0,1.15055,0.545652,C-decoupled,fs,-25.0,7.5e-05
856,0.000125,3435620.0,1.37091,0.517563,C-decoupled,fs,27.0,0.000125
857,0.000175,3200590.0,1.65807,0.478355,C-coupled,ss,100.0,0.000175
858,7.5e-05,2452200.0,1.14532,0.558172,C-decoupled,sf,75.0,7.5e-05
859,0.00025,4342490.0,1.74021,0.418376,C-decoupled,fs,27.0,0.00025
860,0.00025,5e-07,1.55514,0.279278,schematic,sf,-25.0,0.00025
861,0.000125,3227830.0,1.39535,0.464605,C-decoupled,ss,50.0,0.000125
862,2.5e-05,5e-07,0.850942,0.768711,C-coupled,sf,100.0,2.5e-05
863,0.0002,5e-07,1.50983,0.386377,C-coupled,fs,-25.0,0.0002
864,2.5e-05,5e-07,0.852795,0.728341,C-coupled,sf,75.0,2.5e-05
865,0.00025,3974130.0,1.75432,0.402307,full-RC,tt,50.0,0.00025
866,0.00025,5e-07,1.55355,0.341356,C-decoupled,ff,-25.0,0.00025
867,0.000175,4270790.0,1.45221,0.386339,schematic,tt,0.0,0.000175
868,0.000175,3544880.0,1.61031,0.521951,C-decoupled,fs,75.0,0.000175
869,0.0002,3955450.0,1.53135,0.427125,full-RC,ff,27.0,0.0002
870,0.0001,2988540.0,1.25954,0.508026,schematic,sf,75.0,0.0001
871,5e-05,1471840.0,1.02871,0.762614,C-coupled,ff,100.0,5e-05
872,0.00025,5e-07,1.58908,0.319092,C-coupled,tt,-25.0,0.00025
873,0.00025,5e-07,1.71641,0.36051,full-RC,sf,50.0,0.00025
874,5e-05,1789570.0,1.03388,0.621637,full-RC,tt,27.0,5e-05
875,0.000225,4014490.0,1.72077,0.457711,C-decoupled,fs,50.0,0.000225
876,0.0002,5e-07,1.4745,0.342333,C-coupled,tt,-25.0,0.0002
877,0.0001,3543470.0,1.23375,0.494061,schematic,fs,-25.0,0.0001
878,0.0001,2791310.0,1.32479,0.620238,C-decoupled,fs,75.0,0.0001
879,7.5e-05,2286560.0,1.1613,0.592819,C-coupled,sf,100.0,7.5e-05
880,0.000125,3210540.0,1.32905,0.442308,C-decoupled,sf,50.0,0.000125
881,0.00015,3267810.0,1.52177,0.469224,C-coupled,ss,75.0,0.00015
882,0.00025,3915350.0,1.77493,0.388519,C-decoupled,sf,75.0,0.00025
883,0.00025,5e-07,1.62573,0.360099,C-decoupled,fs,-25.0,0.00025
884,0.00015,3998830.0,1.38233,0.425712,full-RC,fs,-25.0,0.00015
885,0.000125,2971440.0,1.42389,0.556617,C-coupled,tt,100.0,0.000125
886,0.00025,3828630.0,1.85714,0.407257,C-decoupled,ss,75.0,0.00025
887,5e-05,1740420.0,1.07012,0.716054,schematic,fs,50.0,5e-05
888,0.0001,2987170.0,1.21506,0.445733,C-coupled,sf,27.0,0.0001
889,0.000225,3919140.0,1.68323,0.414182,C-coupled,tt,50.0,0.000225
890,0.0002,4488680.0,1.55226,0.414834,schematic,fs,0.0,0.0002
891,0.0001,2871510.0,1.34603,0.563803,schematic,ss,100.0,0.0001
892,0.00025,4045270.0,1.79265,0.444678,full-RC,fs,50.0,0.00025
893,0.00015,3806590.0,1.38188,0.406091,C-coupled,tt,0.0,0.00015
894,0.0002,3988000.0,1.60341,0.446192,C-coupled,fs,27.0,0.0002
895,0.0001,2757510.0,1.32215,0.531507,full-RC,ss,75.0,0.0001
896,0.00015,3313210.0,1.45148,0.526269,full-RC,ff,75.0,0.00015
897,0.000125,3815150.0,1.30786,0.374417,C-decoupled,ss,-25.0,0.000125
898,0.000125,3740610.0,1.33554,0.40394,schematic,ss,0.0,0.000125
899,5e-05,1539660.0,1.07943,0.752132,C-coupled,fs,75.0,5e-05
900,0.000225,3762760.0,1.69613,0.46886,C-coupled,ff,75.0,0.000225
901,0.00015,3667020.0,1.45331,0.487492,C-decoupled,fs,27.0,0.00015
902,0.00015,3776290.0,1.35078,0.433937,full-RC,ff,0.0,0.00015
903,0.00025,3802590.0,1.87701,0.459398,C-decoupled,tt,100.0,0.00025
904,0.000175,3334660.0,1.58058,0.533483,full-RC,ff,100.0,0.000175
905,0.00015,3593360.0,1.4185,0.438393,C-coupled,tt,27.0,0.00015
906,5e-05,1588370.0,1.02983,0.762621,schematic,ff,100.0,5e-05
907,5e-05,1888840.0,1.05616,0.644823,schematic,fs,0.0,5e-05
908,0.00015,4119720.0,1.31671,0.32945,schematic,sf,-25.0,0.00015
909,0.000125,3505600.0,1.30661,0.431811,C-coupled,tt,0.0,0.000125
910,0.0002,3653400.0,1.69688,0.432397,C-decoupled,ss,75.0,0.0002
911,0.000225,3712070.0,1.69912,0.399709,C-coupled,sf,75.0,0.000225
